CG/TG,CONSUMER_ID,PRODUCT_ID,PRICE,TRX_DATE,Offer_Type,Type,Validity,Voice_Benefit,Data_Benefit,Voice_Price,Data_Price,Combo_Price,Product_Description
CG,1.29E+11,P151,14,2022-04-01,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,85899372644,P151,308,2022-05-15,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,34359738777,P151,463,2022-05-05,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,34359762661,P151,59,2022-01-31,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,34359776235,P151,103,2022-01-26,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,85899357095,P151,320,2022-05-14,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.63E+11,P151,144,2022-04-05,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,51539628190,P151,354,2022-04-21,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,51539663196,P151,195,2022-04-04,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,34359776445,P151,245,2022-04-05,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,85899394581,P151,321,2022-01-29,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.12E+11,P151,232,2022-03-30,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,42949715056,P151,365,2022-03-22,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.29E+11,P151,454,2022-01-14,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,34359762109,P151,330,2022-01-28,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,85899382638,P151,291,2022-04-02,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,85899364237,P151,340,2022-03-01,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.03E+11,P151,237,2022-03-18,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,51539657921,P151,146,2022-02-20,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.29E+11,P151,213,2022-02-27,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,77309438679,P151,408,2022-03-26,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,8593,P151,220,2022-05-21,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.63E+11,P151,465,2022-01-19,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,34359786710,P151,269,2022-01-05,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.03E+11,P151,45,2022-01-18,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,68719525094,P151,172,2022-03-18,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,29097,P151,225,2022-03-30,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,38723,P151,425,2022-04-02,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,77309445127,P151,273,2022-05-28,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.29E+11,P151,147,2022-05-24,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,51539660137,P151,362,2022-01-25,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.37E+11,P151,152,2022-01-04,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.55E+11,P151,152,2022-02-24,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,51539640602,P151,309,2022-05-28,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.55E+11,P151,155,2022-05-17,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.20E+11,P151,187,2022-05-05,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,60129578789,P151,405,2022-03-03,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.46E+11,P151,491,2022-03-05,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,11894,P151,358,2022-01-26,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,34359775295,P151,408,2022-02-02,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,17179887880,P151,373,2022-04-18,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.46E+11,P151,307,2022-04-20,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,25769822682,P151,433,2022-01-24,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,42949706501,P151,371,2022-01-14,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,34359765476,P151,23,2022-01-28,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,8589972650,P151,281,2022-05-19,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,85899399455,P151,177,2022-04-02,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,24528,P151,154,2022-04-30,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,34359767130,P151,373,2022-02-02,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,60129582629,P151,496,2022-03-03,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,68719487752,P151,208,2022-03-27,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.55E+11,P151,272,2022-01-30,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.29E+11,P151,208,2022-02-02,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,51539614869,P151,417,2022-02-28,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,94489280754,P151,256,2022-02-17,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.46E+11,P151,50,2022-04-05,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.12E+11,P151,467,2022-01-17,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,25769804706,P151,148,2022-01-15,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,17179890820,P151,387,2022-02-17,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,20041,P151,265,2022-05-22,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,42949676673,P151,227,2022-05-26,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,51539648389,P151,355,2022-02-27,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.63E+11,P151,488,2022-01-24,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.46E+11,P151,458,2022-02-28,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,34359769747,P151,148,2022-01-16,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.29E+11,P151,407,2022-01-19,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.55E+11,P151,430,2022-03-03,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,17179889241,P151,464,2022-01-26,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,25769831373,P151,245,2022-03-21,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,42949705899,P151,193,2022-05-21,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.46E+11,P151,14,2022-01-18,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,51539629045,P151,414,2022-05-26,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,94489280513,P151,314,2022-03-17,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,85899352662,P151,494,2022-05-14,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,8589966076,P151,316,2022-05-01,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,17179874126,P151,409,2022-01-15,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,48333,P151,211,2022-03-15,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,94489315167,P151,158,2022-01-15,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.55E+11,P151,371,2022-01-17,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.20E+11,P151,27,2022-05-31,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,8589935361,P151,374,2022-02-15,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,68719525739,P151,255,2022-02-24,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.55E+11,P151,138,2022-03-27,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,17179922072,P151,245,2022-02-22,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,25769831001,P151,380,2022-01-16,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,77309416929,P151,362,2022-04-21,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,28437,P151,495,2022-05-01,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.20E+11,P151,93,2022-04-17,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.03E+11,P151,64,2022-05-24,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.55E+11,P151,426,2022-05-03,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,68719514692,P151,68,2022-04-26,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.29E+11,P151,68,2022-01-04,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.03E+11,P151,362,2022-05-25,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.46E+11,P151,18,2022-05-28,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.03E+11,P151,53,2022-04-03,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.37E+11,P151,400,2022-02-28,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.63E+11,P151,414,2022-03-22,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.37E+11,P151,405,2022-01-25,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,51539628041,P151,43,2022-05-14,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.37E+11,P151,121,2022-05-19,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,25769808603,P151,319,2022-03-20,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,34359742396,P151,466,2022-01-16,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,8589962458,P151,72,2022-04-17,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.46E+11,P151,21,2022-02-22,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,68719526802,P151,136,2022-05-28,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.46E+11,P151,209,2022-04-15,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,17179889254,P151,238,2022-03-13,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,17179917654,P151,245,2022-04-26,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.12E+11,P111,419,2022-03-24,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,85899385797,P111,313,2022-02-18,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,1.03E+11,P111,371,2022-03-24,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,1.37E+11,P111,496,2022-02-21,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,8589970812,P111,304,2022-04-27,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,51539650220,P111,218,2022-05-25,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,68719521980,P111,143,2022-01-29,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,34359788222,P111,272,2022-02-17,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,1.29E+11,P111,426,2022-05-21,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,94489281014,P111,369,2022-05-17,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,1.20E+11,P111,121,2022-02-22,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,1.37E+11,P111,496,2022-02-27,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,1.29E+11,P111,63,2022-01-20,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,1.37E+11,P111,431,2022-03-02,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,1.29E+11,P111,271,2022-04-24,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,8589935986,P111,96,2022-04-28,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,1102,P111,295,2022-04-24,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,1.55E+11,P111,114,2022-03-13,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,51539643409,P111,337,2022-02-13,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,68719485353,P111,212,2022-01-04,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,85899353743,P111,443,2022-02-19,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,1.12E+11,P111,67,2022-05-25,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,42949680953,P111,312,2022-01-21,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,85899399061,P111,7,2022-01-01,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,68719478732,P111,45,2022-05-25,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,77309447336,P111,186,2022-01-15,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,60129557616,P111,24,2022-04-05,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,42949698661,P111,67,2022-02-25,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,34359749979,P111,112,2022-05-03,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,1.37E+11,P111,279,2022-01-13,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,1.03E+11,P111,114,2022-04-28,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,77309430805,P111,118,2022-01-19,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,85899394323,P111,492,2022-05-04,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,17179911776,P111,407,2022-05-28,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,17179879395,P111,478,2022-02-20,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,1.46E+11,P111,41,2022-01-20,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,17179901853,P111,393,2022-01-03,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,1.55E+11,P111,107,2022-03-16,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,25769834523,P111,143,2022-02-27,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,68719503081,P111,361,2022-03-22,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,25769839323,P111,276,2022-02-22,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,1.20E+11,P111,281,2022-02-19,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,1.63E+11,P111,10,2022-05-03,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,1.46E+11,P111,244,2022-03-19,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,1.29E+11,P111,70,2022-02-13,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,68719500175,P111,422,2022-05-25,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,1.03E+11,P111,79,2022-04-28,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,1.55E+11,P111,47,2022-03-29,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,77309417403,P111,136,2022-05-25,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,34359769431,P111,45,2022-04-13,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,17179882805,P111,360,2022-04-16,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,34359767675,P111,499,2022-05-17,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,1.63E+11,P111,257,2022-05-31,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,51539618958,P111,318,2022-05-30,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,51539611404,P111,53,2022-02-19,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,30486,P111,129,2022-03-23,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,17179870987,P111,170,2022-03-27,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,60129565191,P111,447,2022-03-13,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,1.29E+11,P111,99,2022-05-16,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,17179906574,P111,32,2022-02-15,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,85899348890,P111,292,2022-02-21,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,1.20E+11,P111,10,2022-01-20,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
TG,68719531282,P111,267,2022-02-18,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
CG,60129573081,P111,387,2022-01-02,Open,Data,Weekly,0,1251,0,226,0,500 MB standalone Data Pack_28D
